Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 447 0.71085 0.25547 0.9921 0.0079001 3.126 
1 448 0.69181 0.25099 0.99235 0.0076517 3.359 
1 449 0.69181 0.25099 0.99235 0.0076517 3.359 
1 450 0.69181 0.25099 0.99235 0.0076517 3.359 
1 451 0.67444 0.25085 0.98912 0.010875 3.357 
1 452 0.65612 0.26028 0.99255 0.0074484 3.3695 
1 453 0.65612 0.26028 0.99255 0.0074484 3.3695 
1 454 0.65612 0.26028 0.99255 0.0074484 3.3695 
1 455 0.65576 0.27238 0.99673 0.0032746 3.3274 
1 456 0.61131 0.28518 0.99802 0.001979 3.2136 
1 457 0.60484 0.27953 0.99835 0.0016523 3.2358 
1 458 0.60484 0.27953 0.99835 0.0016523 3.2358 
