Chain iteration mu_1 sd_1 w_1 w_NS Prob 
1 369 0.47263 0.35567 0.889 0.111 -6.5264 
1 370 0.47126 0.35016 0.89287 0.10713 -6.5346 
1 371 0.49549 0.36654 0.89111 0.10889 -6.4385 
1 372 0.47899 0.38381 0.90431 0.095685 -6.4296 
1 373 0.47137 0.37721 0.91963 0.080365 -6.4323 
1 374 0.47492 0.36579 0.90823 0.091765 -6.4473 
1 375 0.47131 0.34849 0.90789 0.09211 -6.5315 
1 376 0.4453 0.36062 0.90802 0.091983 -6.6087 
1 377 0.43357 0.36063 0.89354 0.10646 -6.686 
1 378 0.42289 0.3417 0.90617 0.093834 -6.8891 
1 379 0.40926 0.3468 0.89265 0.10735 -6.9172 
1 380 0.40352 0.35143 0.89349 0.10651 -6.9228 
1 381 0.34488 0.35159 0.89704 0.10296 -7.3689 
1 382 0.3339 0.35404 0.89472 0.10528 -7.4251 
1 383 0.33709 0.35407 0.87759 0.12241 -7.4177 
1 384 0.32621 0.36502 0.88006 0.11994 -7.394 
1 385 0.32272 0.36624 0.88472 0.11528 -7.3932 
1 386 0.32272 0.36624 0.88472 0.11528 -7.3932 
1 387 0.32503 0.36433 0.89124 0.10876 -7.3812 
1 388 0.3498 0.36825 0.87319 0.12681 -7.3616 
1 389 0.38317 0.36811 0.86223 0.13777 -7.1133 
1 390 0.38727 0.37667 0.8764 0.1236 -6.9604 
1 391 0.3816 0.37299 0.87623 0.12377 -7.0041 
1 392 0.37794 0.37558 0.89448 0.10552 -6.9273 
1 393 0.37794 0.37558 0.89448 0.10552 -6.9273 
1 394 0.40525 0.37079 0.90882 0.091183 -6.7805 
1 395 0.44219 0.38381 0.8878 0.1122 -6.6329 
1 396 0.42793 0.39652 0.89508 0.10492 -6.6377 
1 397 0.45193 0.39063 0.88861 0.11139 -6.6017 
1 398 0.48542 0.39326 0.89395 0.10605 -6.492 
1 399 0.4813 0.37751 0.89683 0.10317 -6.4579 
1 400 0.48601 0.38048 0.8933 0.1067 -6.4697 
1 401 0.49961 0.39335 0.8881 0.1119 -6.517 
1 402 0.50614 0.40195 0.88647 0.11353 -6.5658 
1 403 0.52559 0.39882 0.89859 0.10141 -6.4458 
1 404 0.50173 0.3924 0.90754 0.092465 -6.3851 
1 405 0.50216 0.39788 0.90488 0.095121 -6.4104 
1 406 0.48214 0.39792 0.91878 0.08122 -6.3862 
1 407 0.46066 0.39606 0.91917 0.08083 -6.4384 
1 408 0.48201 0.38825 0.92817 0.07183 -6.3785 
1 409 0.47535 0.38424 0.92461 0.075387 -6.4032 
1 410 0.45811 0.3958 0.91931 0.080692 -6.4464 
1 411 0.47804 0.39349 0.93204 0.067963 -6.3937 
1 412 0.49667 0.39025 0.91912 0.080875 -6.3485 
1 413 0.50299 0.39096 0.90604 0.093959 -6.3872 
1 414 0.50275 0.38191 0.90133 0.098671 -6.3916 
1 415 0.49855 0.37081 0.90219 0.09781 -6.3821 
1 416 0.47684 0.36936 0.89631 0.10369 -6.4678 
1 417 0.47914 0.36485 0.88382 0.11618 -6.5286 
1 418 0.47232 0.3599 0.89646 0.10354 -6.4944 
1 419 0.46793 0.34917 0.89279 0.10721 -6.5539 
1 420 0.50697 0.33315 0.90145 0.098549 -6.4054 
1 421 0.50106 0.3358 0.88641 0.11359 -6.4499 
1 422 0.47742 0.32859 0.88051 0.11949 -6.6091 
1 423 0.51817 0.33435 0.87875 0.12125 -6.4136 
1 424 0.52149 0.33204 0.87317 0.12683 -6.4314 
1 425 0.52015 0.32648 0.87045 0.12955 -6.4469 
1 426 0.52015 0.32648 0.87045 0.12955 -6.4469 
1 427 0.49919 0.33909 0.87027 0.12973 -6.5308 
1 428 0.50742 0.32015 0.87902 0.12098 -6.4794 
1 429 0.51762 0.31261 0.88283 0.11717 -6.4419 
1 430 0.5123 0.29398 0.89771 0.10229 -6.6172 
1 431 0.53076 0.29302 0.88956 0.11044 -6.4649 
1 432 0.52265 0.2892 0.88721 0.11279 -6.5445 
1 433 0.51417 0.29761 0.89183 0.10817 -6.5508 
1 434 0.51417 0.29761 0.89183 0.10817 -6.5508 
1 435 0.52189 0.30331 0.88813 0.11187 -6.4562 
1 436 0.54512 0.30793 0.87745 0.12255 -6.3372 
1 437 0.54408 0.30464 0.88127 0.11873 -6.3382 
1 438 0.56717 0.30572 0.88243 0.11757 -6.2424 
1 439 0.5645 0.31553 0.87088 0.12912 -6.3025 
1 440 0.53368 0.30801 0.86545 0.13455 -6.4348 
1 441 0.5467 0.30138 0.86771 0.13229 -6.378 
